main.py - 2023-12-14 00:33:05,726 - Exception 'Namespace' object is not subscriptable
main.py - 2023-12-14 00:33:33,226 - Exception triangle() missing 1 required positional argument: 'sideList'
main.py - 2023-12-14 00:39:45,662 - Function triangle has been successfully used
main.py - 2023-12-14 00:40:23,854 - Negtive length value has been taken
main.py - 2023-12-14 00:40:23,854 - Function triangle has been successfully used
main.py - 2023-12-14 00:40:23,854 - Negtive length value has been taken
main.py - 2023-12-14 00:40:23,854 - Function triangle has been successfully used
main.py - 2023-12-14 00:40:23,854 - Negtive length value has been taken
main.py - 2023-12-14 00:40:23,854 - Function triangle has been successfully used
main.py - 2023-12-14 00:40:23,854 - Function triangle has been successfully used
main.py - 2023-12-14 00:40:23,854 - Function triangle has been successfully used
